ScriptName	OriginalLength	RegeneratedLength	BLEU
schema_1.graphql	1305	1279	0,444973
schema_10.graphql	1766	761	0,182981
schema_11.graphql	474	536	0,546905
schema_12.graphql	285	347	0,619665
schema_13.graphql	21375	1528	0,000003
schema_15.graphql	21375	1263	0,000000
schema_17.graphql	537	484	0,095785
schema_18.graphql	742	403	0,352721
schema_19.graphql	154	290	0,420378
schema_2.graphql	5049	1553	0,033301
schema_20.graphql	743	701	0,733696
schema_21.graphql	3475	1339	0,128451
schema_22.graphql	4127	2297	0,054207
schema_23.graphql	2856	1599	0,203179
schema_24.graphql	359	365	0,463956
schema_25.graphql	735	695	0,717239
schema_26.graphql	359	365	0,622519
schema_27.graphql	735	748	0,757686
schema_29.graphql	23186	1199	0,000000
schema_3.graphql	4924	2162	0,108494
schema_30.graphql	505	571	0,512017
schema_31.graphql	782	418	0,198782
schema_32.graphql	1576	1365	0,686458
schema_33.graphql	723	634	0,784596
schema_35.graphql	184	141	0,751477
schema_37.graphql	283	653	0,398668
schema_4.graphql	428	436	0,776933
schema_5.graphql	103	120	0,339780
schema_6.graphql	76	71	1,000000
schema_7.graphql	3194	1267	0,141137
schema_8.graphql	270	261	0,764966
schema_9.graphql	3258	2078	0,216261
