file	levenshtein	em	compiles
schema_10_test_case_1.json	1,0000	true	true
schema_10_test_case_10.json	1,0000	true	true
schema_10_test_case_11.json	0,5918	false	false
schema_10_test_case_12.json	0,2083	false	false
schema_10_test_case_13.json	1,0000	true	true
schema_10_test_case_14.json	0,9737	false	true
schema_10_test_case_15.json	0,4146	false	false
schema_10_test_case_16.json	0,4545	false	true
schema_10_test_case_17.json	1,0000	true	true
schema_10_test_case_18.json	0,3571	false	false
schema_10_test_case_19.json	0,3750	false	false
schema_10_test_case_2.json	1,0000	true	true
schema_10_test_case_20.json	1,0000	true	true
schema_10_test_case_3.json	1,0000	true	true
schema_10_test_case_4.json	0,9231	false	true
schema_10_test_case_5.json	0,9630	true	true
schema_10_test_case_6.json	1,0000	true	true
schema_10_test_case_7.json	1,0000	true	true
schema_10_test_case_8.json	1,0000	true	true
schema_10_test_case_9.json	0,3571	false	false
schema_11_test_case_1.json	1,0000	true	true
schema_11_test_case_10.json	1,0000	true	true
schema_11_test_case_11.json	0,9167	true	true
schema_11_test_case_12.json	1,0000	true	true
schema_11_test_case_13.json	1,0000	true	true
schema_11_test_case_14.json	0,7778	false	true
schema_11_test_case_15.json	1,0000	true	true
schema_11_test_case_16.json	1,0000	true	true
schema_11_test_case_17.json	1,0000	true	true
schema_11_test_case_18.json	0,9375	true	true
schema_11_test_case_19.json	1,0000	true	true
schema_11_test_case_2.json	0,9167	true	true
schema_11_test_case_20.json	1,0000	true	true
schema_11_test_case_3.json	0,9333	false	true
schema_11_test_case_4.json	1,0000	true	true
schema_11_test_case_5.json	0,7778	false	true
schema_11_test_case_6.json	0,9375	true	true
schema_11_test_case_7.json	0,9375	true	true
schema_11_test_case_8.json	0,7895	false	true
schema_11_test_case_9.json	1,0000	true	true
schema_12_test_case_1.json	1,0000	true	true
schema_12_test_case_10.json	1,0000	true	true
schema_12_test_case_11.json	0,9231	true	true
schema_12_test_case_12.json	1,0000	true	true
schema_12_test_case_13.json	0,8000	false	false
schema_12_test_case_2.json	0,9333	true	true
schema_12_test_case_3.json	1,0000	true	true
schema_12_test_case_4.json	1,0000	true	true
schema_12_test_case_5.json	1,0000	true	true
schema_12_test_case_6.json	1,0000	true	true
schema_12_test_case_7.json	0,0667	false	false
schema_12_test_case_8.json	1,0000	true	true
schema_12_test_case_9.json	0,9643	true	true
schema_13_test_case_1.json	0,9524	false	true
schema_13_test_case_10.json	1,0000	true	true
schema_13_test_case_11.json	1,0000	true	true
schema_13_test_case_12.json	1,0000	true	true
schema_13_test_case_13.json	1,0000	true	true
schema_13_test_case_14.json	1,0000	true	true
schema_13_test_case_15.json	0,9231	false	true
schema_13_test_case_16.json	0,9524	false	true
schema_13_test_case_17.json	1,0000	true	true
schema_13_test_case_18.json	1,0000	true	true
schema_13_test_case_19.json	0,9231	false	true
schema_13_test_case_2.json	1,0000	true	true
schema_13_test_case_20.json	0,3882	false	false
schema_13_test_case_3.json	1,0000	true	true
